t,u_ib,E_p,E_p_err,factor,factor_err,exponent,r2
0.055,-0.5,-0.5159499203782498,0.0002421209285365978,-0.04123331518082488,0.0012330024400405326,-0.5,0.9879720088911015
0.055,0.0,0.0,0.0,0.0,0.0,-0.5,0.9902139236879358
0.055,0.5,0.4814663355157805,0.000475114154874135,-0.050635530184527267,0.0024341215133761927,-0.5,0.9879027718552714
0.055,1.0,0.6610843959109023,0.0024665002110615783,0.25671833633069185,0.012779105413815337,-0.5,0.9867697327092224
0.055,1.5,0.6701046185604801,0.003954597791340304,0.4103872674280463,0.020451130587857365,-0.5,0.9865058096271142
0.06,-1.5,-2.3143705131489356,0.0012476101215255569,0.45898508214440403,0.00655160941266527,-0.5,0.9857049788654195
0.06,-1.0,-1.2864960288410388,0.00034910164277970337,0.2057772063902923,0.0018201087841112282,-0.5,0.9860137319251052
0.06,-0.5,-0.5312679038700133,0.0001347164112716277,-0.014369475114215107,0.0007073820482330727,-0.5,0.9883177622494415
0.06,0.0,0.0,0.0,0.0,0.0,-0.5,0.9890149171651442
0.06,0.5,0.45951653474607984,0.00011689698243055458,-0.0008582395407756323,0.0006113982151679699,-0.5,0.9879802506540162
0.06,1.0,0.6063995355883616,7.058939822761214e-5,0.40337931044881403,0.00037027404979728676,-0.5,0.9877407570055191
0.06,1.5,0.6243495894387097,0.0010335096971897807,0.5565895831751254,0.005387268018679995,-0.5,0.9876339655975817
0.065,-1.5,-2.3632241164105294,0.001542322644204092,0.5695333980888937,0.008081095182988664,-0.5,0.9838655144473349
0.065,-1.0,-1.3296870742304319,0.00034657678057688993,0.2939681281969583,0.001839963359622095,-0.5,0.9845640810834262
0.065,-0.5,-0.5514518336329484,0.0001815687987337664,0.03519408279781838,0.0009299358956105073,-0.5,0.9866978255771515
0.065,0.0,0.0,0.0,0.0,0.0,-0.5,0.98761266809619
0.065,0.5,0.43516465398059323,0.00018615379408154015,0.06278584178323612,0.0009547166755612592,-0.5,0.9859793506724607
0.065,1.0,0.5876536767087501,0.0014817635112459684,0.4173928429145092,0.007750457415305172,-0.5,0.9864524024355592
0.065,1.5,0.6192476250462631,0.0030192153066925303,0.5525119644226268,0.015800892175488225,-0.5,0.986063594667995
0.07,-1.5,-2.376716298494292,0.0035766090629004064,0.555549832402128,0.01898564586091688,-0.5,0.9840266605379209
0.07,-1.0,-1.3420089247354257,0.002212749980637557,0.27152067173684424,0.011531742713063536,-0.5,0.9836112416405427
0.07,-0.5,-0.5620778247634112,0.00032735437784332057,0.0459647571498296,0.0017160272701432096,-0.5,0.9826231939821712
0.07,0.0,0.0,0.0,0.0,0.0,-0.5,0.9841356034860205
0.07,0.5,0.4255063722945399,0.0005765257634276549,0.06808471767283229,0.003016139417983112,-0.5,0.9834084737264034
