# dJUs, omega0s, omega1s, omega2s
1.100000000000000006e-01,2.000000000000000111e-01,0.000000000000000000e+00,-5.837421019439056240e-04
1.150000000000000050e-01,2.000000000000000111e-01,0.000000000000000000e+00,-6.579793009847419551e-04
1.199999999999999956e-01,2.000000000000000111e-01,0.000000000000000000e+00,-7.414577940810227787e-04
1.250000000000000000e-01,2.000000000000000111e-01,0.000000000000000000e+00,-8.359885154730120052e-04
1.300000000000000044e-01,2.000000000000000111e-01,0.000000000000000000e+00,-9.439701099268267863e-04
1.350000000000000089e-01,2.000000000000000111e-01,0.000000000000000000e+00,-1.068664995174215156e-03
1.400000000000000133e-01,2.000000000000000111e-01,0.000000000000000000e+00,-1.214656861409826004e-03
1.449999999999999900e-01,2.000000000000000111e-01,0.000000000000000000e+00,-1.388651713581474587e-03
1.499999999999999944e-01,2.000000000000000111e-01,0.000000000000000000e+00,-1.600979501180672037e-03
1.549999999999999989e-01,2.000000000000000111e-01,0.000000000000000000e+00,-1.868665290249090210e-03
1.600000000000000033e-01,2.000000000000000111e-01,0.000000000000000000e+00,-2.222479864407803010e-03
1.650000000000000078e-01,2.000000000000000111e-01,0.000000000000000000e+00,-2.725975684281944748e-03
1.700000000000000122e-01,2.000000000000000111e-01,0.000000000000000000e+00,-3.541449863033717307e-03
1.750000000000000167e-01,1.999998832238608359e-01,-6.760776110450027621e-04,-3.451421818543001264e-03
1.799999999999999933e-01,1.999896498077964324e-01,-1.589944678834641963e-03,-3.056524772518082189e-03
1.849999999999999978e-01,2.000097010313427459e-01,-2.426131038003154650e-03,-2.797359838266311530e-03
1.900000000000000022e-01,2.000686264781673662e-01,-3.192644072777666830e-03,-2.603088411685679834e-03
1.950000000000000067e-01,2.001672626493459506e-01,-3.896413317826740233e-03,-2.447168977184005154e-03
2.000000000000000111e-01,2.003043891014986144e-01,-4.543498002179347829e-03,-2.316826231592434594e-03
2.050000000000000155e-01,2.004781042614734998e-01,-5.139232020846598407e-03,-2.204921189616204126e-03
2.099999999999999922e-01,2.006862958057474278e-01,-5.688334668135376637e-03,-2.107046420708416894e-03
2.149999999999999967e-01,2.009268328711932006e-01,-6.194998840956245784e-03,-2.020279469820444092e-03
2.200000000000000011e-01,2.011976513618565776e-01,-6.662963043092935515e-03,-1.942575455293547642e-03
2.250000000000000056e-01,2.014967919966707821e-01,-7.095571125974097643e-03,-1.872442073249903742e-03
2.300000000000000100e-01,2.018224155497296557e-01,-7.495822433804414341e-03,-1.808752746716338995e-03
2.350000000000000144e-01,2.021728065108893135e-01,-7.866414269090900996e-03,-1.750632908879429196e-03
2.399999999999999911e-01,2.025463707515579304e-01,-8.209778110903656959e-03,-1.697387528244452808e-03
2.449999999999999956e-01,2.029416301336655626e-01,-8.528110687915965715e-03,-1.648453122573601687e-03
2.500000000000000000e-01,2.033572156663709940e-01,-8.823400772413770438e-03,-1.603364951225163442e-03
2.550000000000000044e-01,2.037918601059182100e-01,-9.097452387292702045e-03,-1.561733961906933924e-03
2.600000000000000089e-01,2.042443905011672445e-01,-9.351904986073017803e-03,-1.523230202941945350e-03
2.650000000000000133e-01,2.047137209630220944e-01,-9.588251063876000735e-03,-1.487570637063617479e-03
2.700000000000000178e-01,2.051988458052245168e-01,-9.807851577081706448e-03,-1.454510022317235954e-03
2.750000000000000222e-01,2.056988331269508918e-01,-1.001194948547958971e-02,-1.423833974547563958e-03
2.800000000000000266e-01,2.062128188619707925e-01,-1.020168167930981563e-02,-1.395353610223442307e-03
2.850000000000000311e-01,2.067400012926092490e-01,-1.037808951178457659e-02,-1.368901352943733109e-03
2.899999999999999800e-01,2.072796360114589620e-01,-1.054212812346776509e-02,-1.344327609602506256e-03
2.949999999999999845e-01,2.078310313056924985e-01,-1.069467471668381249e-02,-1.321498105298461300e-03
2.999999999999999889e-01,2.083935439349319518e-01,-1.083653591472791972e-02,-1.300291723442035087e-03
3.049999999999999933e-01,2.089665752724433612e-01,-1.096845432113456587e-02,-1.280598737746962024e-03
3.099999999999999978e-01,2.095495677796998246e-01,-1.109111437792425353e-02,-1.262319351465857964e-03
3.150000000000000022e-01,2.101420017856382716e-01,-1.120514760799101034e-02,-1.245362479905212216e-03
3.200000000000000067e-01,2.107433925436132949e-01,-1.131113731516985438e-02,-1.229644727378128872e-03
3.250000000000000111e-01,2.113532875410764622e-01,-1.140962280566185788e-02,-1.215089520934094615e-03
3.300000000000000155e-01,2.119712640389071479e-01,-1.150110318612705511e-02,-1.201626371553924039e-03
3.350000000000000200e-01,2.125969268194414785e-01,-1.158604078656654685e-02,-1.189190239798344284e-03
3.400000000000000244e-01,2.132299061240227334e-01,-1.166486425001198729e-02,-1.177720987703644506e-03
3.450000000000000289e-01,2.138698557627494723e-01,-1.173797132575244741e-02,-1.167162902396475270e-03
3.500000000000000333e-01,2.145164513806974149e-01,-1.180573139830999076e-02,-1.157464279760146014e-03
3.549999999999999822e-01,2.151693888664107102e-01,-1.186848778045087802e-02,-1.148577058703964668e-03
3.599999999999999867e-01,2.158283828898281131e-01,-1.192655979513657614e-02,-1.140456498348867793e-03
3.649999999999999911e-01,2.164931655580150938e-01,-1.198024466838099045e-02,-1.133060891814658766e-03
3.699999999999999956e-01,2.171634851782658915e-01,-1.202981925241648417e-02,-1.126351311404999054e-03
3.750000000000000000e-01,2.178391051190681493e-01,-1.207554159635397528e-02,-1.120291380870785686e-03
3.800000000000000044e-01,2.185198027603799942e-01,-1.211765237957640982e-02,-1.114847071141191219e-03
3.850000000000000089e-01,2.192053685254820583e-01,-1.215637622139684702e-02,-1.109986516494399856e-03
3.900000000000000133e-01,2.198956049873802554e-01,-1.219192287903082990e-02,-1.105679848611220394e-03
3.950000000000000178e-01,2.205903260434217139e-01,-1.222448834461751024e-02,-1.101899046340150618e-03
4.000000000000000222e-01,2.212893561523611163e-01,-1.225425585087050635e-02,-1.098617799324641715e-03
4.050000000000000266e-01,2.219925296286565930e-01,-1.228139679393039016e-02,-1.095811383906840700e-03
4.100000000000000311e-01,2.226996899892544346e-01,-1.230607158108612022e-02,-1.093456549941033279e-03
4.150000000000000355e-01,2.234106893485584833e-01,-1.232843041024310991e-02,-1.091531417338192835e-03
4.199999999999999845e-01,2.241253878576370262e-01,-1.234861398731843495e-02,-1.090015381317685711e-03
4.249999999999999889e-01,2.248436531841533914e-01,-1.236675418710716547e-02,-1.088889025467053599e-03
4.299999999999999933e-01,2.255653600297058969e-01,-1.238297466262433359e-02,-1.088134041834656549e-03
4.349999999999999978e-01,2.262903896816500782e-01,-1.239739140742713262e-02,-1.087733157363257206e-03
4.400000000000000022e-01,2.270186295966842849e-01,-1.241011327498130722e-02,-1.087670066060558499e-03
4.450000000000000067e-01,2.277499730137304557e-01,-1.242124245874720589e-02,-1.087929366369203921e-03
4.500000000000000111e-01,2.284843185938332799e-01,-1.243087493631343798e-02,-1.088496503263919031e-03
4.550000000000000155e-01,2.292215700850272209e-01,-1.243910088058305420e-02,-1.089357714648168983e-03
4.600000000000000200e-01,2.299616360102634816e-01,-1.244600504074756114e-02,-1.090499981676146821e-03
4.650000000000000244e-01,2.307044293766555565e-01,-1.245166709552584725e-02,-1.091910982661010044e-03
4.700000000000000289e-01,2.314498674044748183e-01,-1.245616198091872677e-02,-1.093579050262558344e-03
4.750000000000000333e-01,2.321978712743823225e-01,-1.245956019453144277e-02,-1.095493131689214772e-03
4.799999999999999822e-01,2.329483658916137456e-01,-1.246192807832629396e-02,-1.097642751657724146e-03
4.849999999999999867e-01,2.337012796658250735e-01,-1.246332808150940781e-02,-1.100017977898958216e-03
4.899999999999999911e-01,2.344565443055018905e-01,-1.246381900510079056e-02,-1.102609388999550074e-03
4.949999999999999956e-01,2.352140946258618470e-01,-1.246345622960577312e-02,-1.105408044402403627e-03
5.000000000000000000e-01,2.359738683692916283e-01,-1.246229192708555797e-02,-1.108405456397865705e-03
5.050000000000000044e-01,2.367358060374246953e-01,-1.246037525880895613e-02,-1.111593563954698174e-03
5.100000000000000089e-01,2.374998507340567999e-01,-1.245775255957084701e-02,-1.114964708252668508e-03
