N,t,Ep,Ep_err
9,0.084,0.19123509494302732,0.0
9,0.085,0.1911440126606952,0.0
9,0.086,0.19105803495005713,0.0
9,0.087,0.19097697818667791,0.0
9,0.088,0.1909006560318689,0.0
9,0.089,0.190828881253449,0.0
9,0.09,0.19076146726657095,0.0
9,0.091,0.19069822941993608,0.0
9,0.092,0.19063898605360896,0.0
9,0.093,0.19058355935374915,0.0
9,0.094,0.19053177602908222,0.0
9,0.095,0.19048346783187753,0.0
9,0.096,0.1904384719448945,0.0
9,0.097,0.19039663125366613,0.0
9,0.098,0.19035779452171442,0.0
9,0.099,0.19032181648408886,0.0
9,0.1,0.19028855787331767,0.0
9,0.101,0.1902578853895852,0.0
9,0.102,0.1902296716258663,0.0
9,0.103,0.19020379495695156,0.0
9,0.104,0.19018013940017903,0.0
9,0.105,0.19015859445455835,0.0
9,0.106,0.1901390549237883,0.0
9,0.107,0.19012142072797006,0.0
9,0.108,0.19010559670785582,0.0
9,0.109,0.19009149242492934,0.0
9,0.11,0.1900790219599509,0.0
9,0.111,0.19006810371212884,0.0
9,0.112,0.19005866020063983,0.0
9,0.113,0.19005061786990268,0.0
9,0.114,0.1900439068995246,0.0
9,0.115,0.19003846101996508,0.0
9,0.116,0.1900342173342689,0.0
9,0.117,0.19003111614636709,0.0
9,0.118,0.1900291007963113,0.0
9,0.119,0.1900281175023919,0.0
9,0.12,0.1900281152103176,0.0
9,0.121,0.19002904544937782,0.0
9,0.122,0.19003086219560794,0.0
9,0.123,0.19003352174152544,0.0
9,0.124,0.19003698257263002,0.0
9,0.125,0.19004120525017298,0.0
9,0.126,0.19004615230016308,0.0
9,0.127,0.19005178810814805,0.0
9,0.128,0.1900580788198445,0.0
9,0.129,0.19006499224702544,0.0
9,0.13,0.19007249777862123,0.0
9,0.131,0.1900805662967664,0.0
9,0.132,0.19008917009745963,0.0
9,0.133,0.1900982828156743,0.0
9,0.134,0.19010787935460272,0.0
9,0.135,0.19011793581897685,0.0
9,0.136,0.19012842945204733,0.0
9,0.137,0.19013933857608167,0.0
9,0.138,0.1901506425362922,0.0
9,0.139,0.19016232164786606,0.0
9,0.14,0.190174357145926,0.0
9,0.141,0.19018673113840368,0.0
9,0.142,0.19019942656140543,0.0
9,0.143,0.19021242713718578,0.0
9,0.144,0.19022571733443738,0.0
9,0.145,0.19023928233067122,0.0
9,0.146,0.19025310797685246,0.0
9,0.147,0.19026718076384996,0.0
9,0.148,0.1902814877907789,0.0
9,0.149,0.1902960167350679,0.0
9,0.15,0.19031075582416113,0.0
9,0.151,0.19032569380870512,0.0
9,0.152,0.19034081993728413,0.0
9,0.153,0.19035612393240953,0.0
9,0.154,0.19037159596778153,0.0
9,0.155,0.1903872266469232,0.0
9,0.156,0.19040300698274615,0.0
9,0.157,0.19041892837826413,0.0
9,0.158,0.19043498260840275,0.0
9,0.159,0.19045116180260047,0.0
9,0.16,0.1904674584284275,0.0
9,0.161,0.19048386527599026,0.0
9,0.162,0.19050037544321563,0.0
9,0.163,0.1905169823217533,0.0
9,0.164,0.19053367958366996,0.0
9,0.165,0.1905504611688501,0.0
9,0.166,0.19056732127298737,0.0
9,0.167,0.1905842543361066,0.0
9,0.168,0.19060125503178982,0.0
9,0.169,0.19061831825686848,0.0
9,0.17,0.19063543912154024,0.0
9,0.171,0.19065261294011637,0.0
9,0.172,0.19066983522212033,0.0
9,0.173,0.1906871016638767,0.0
9,0.174,0.19070440814039524,0.0
9,0.175,0.19072175069778763,0.0
9,0.176,0.19073912554589856,0.0
9,0.177,0.19075652905144813,0.0
9,0.178,0.19077395773128747,0.0
9,0.179,0.1907914082462192,0.0
9,0.18,0.19080887739483443,0.0
9,0.181,0.1908263621078976,0.0
9,0.182,0.19084385944275462,0.0
9,0.183,0.1908613665781409,0.0
9,0.184,0.19087888080924365,0.0
9,0.185,0.19089639954283322,0.0
9,0.186,0.19091392029279342,0.0
9,0.187,0.19093144067572498,0.0
9,0.188,0.19094895840677872,0.0
9,0.189,0.19096647129575461,0.0
9,0.19,0.19098397724316896,0.0
9,0.191,0.1910014742367767,0.0
9,0.192,0.1910189603479886,0.0
9,0.193,0.1910364337286381,0.0
9,0.194,0.19105389260764416,0.0
9,0.195,0.191071335288157,0.0
9,0.196,0.19108876014455256,0.0
9,0.197,0.19110616561960447,0.0
9,0.198,0.19112355022190752,0.0
9,0.199,0.1911409125232415,0.0
9,0.2,0.19115825115613672,0.0
36,0.01,0.19993573125764427,2.654416294262883e-6
36,0.02,0.19974746995888304,5.327342808138126e-6
36,0.03,0.1994169892467402,6.955259698812101e-6
36,0.04,0.1988710777202605,1.1495435577874599e-5
36,0.05,0.1978494730858376,1.422554450195566e-5
36,0.06,0.1952300371187763,2.3743377327369212e-5
36,0.07,0.19168544318023484,2.816672366159967e-5
36,0.08,0.18993706394088256,3.816071859892577e-5
36,0.09,0.18906849428096806,3.7757624199136604e-5
36,0.1,0.18866091012953812,3.830923845352659e-5
36,0.11,0.18845341010949884,3.9363215987599756e-5
36,0.12,0.18850471094486698,4.1601074693276836e-5
36,0.13,0.1885124920348864,4.157301326472537e-5
36,0.14,0.1886580360377912,4.167434525697379e-5
36,0.15,0.18877110705804723,4.208586070417397e-5
36,0.16,0.18894066777913865,4.406358179211959e-5
36,0.17,0.18911209530966422,6.145561787174667e-5
36,0.18,0.18927471403494356,6.203990993304929e-5
100,0.01,0.1999362551626079,1.1687631446431132e-5
100,0.01,0.1999257751554906,1.1626802983731836e-5
100,0.02,0.1997485194662641,2.5166338272387904e-5
100,0.02,0.1997600780825009,2.49440117682564e-5
100,0.03,0.19939006898225686,3.725292330690794e-5
100,0.04,0.1988350614089843,6.555253220578053e-5
100,0.05,0.19776844815166134,9.868229002523477e-5
100,0.06,0.195674085239119,0.00019571093780783812
100,0.07,0.1916051831825063,0.00013501977613318336
100,0.08,0.1897155135151391,0.00014018828487012547
100,0.09,0.1890301573417853,0.00012772315923826295
100,0.1,0.18838781509973013,0.00013385022891773625
100,0.11,0.18827479855076007,0.00013436751897597375
100,0.12,0.18834392127179056,0.00013590011960960537
100,0.13,0.18804592185577151,0.0001397208113237593
100,0.14,0.18850065015527795,0.0001904381035333988
100,0.15,0.188326812996236,0.00018229445884463183
100,0.16,0.18885311889313472,0.00018666689741213995
100,0.17,0.18866688020710176,0.00018046949465329735
100,0.18,0.18860405589580975,0.0001838289432598783
100,0.19,0.18927474772061914,0.0001822477836778536
100,0.2,0.18940061830640365,0.00019253233759673955
