m,t,n,u_ib,E_no_imp,E_imp,Ep,Z
3,0.049,1.0,0.2,-0.41974169175383486,-0.2225712096937798,0.19717048206005505,0.9984058925822258
3,0.05,0.7777777777777778,0.2,-0.7691821859764423,-0.633001011625387,0.13618117435105526,0.9767952334386465
3,0.05,1.0,0.2,-0.43493027342647705,-0.23792805580813997,0.19700221761833708,0.9983092752819821
3,0.051,0.7777777777777778,0.2,-0.789077415959148,-0.6525187249721033,0.13655869098704473,0.9778367274834185
3,0.051,1.0,0.2,-0.4505012135126398,-0.25367304667102686,0.19682816684161294,0.9982098251232424
3,0.052,0.7777777777777778,0.2,-0.8091415621103268,-0.6722254502165637,0.13691611189376315,0.9788071877037916
3,0.052,1.0,0.2,-0.4664611299078891,-0.2698124949937892,0.19664863491409998,0.9981078503667048
3,0.053,0.7777777777777778,0.2,-0.8293731573049583,-0.6921184159795988,0.1372547413253595,0.9797124684136278
3,0.053,1.0,0.2,-0.48281606213564593,-0.28635206817245606,0.1964639939631899,0.9980037058615611
3,0.054,0.7777777777777778,0.2,-0.849770670242629,-0.7121948819914539,0.13757578825117509,0.9805578780986358
3,0.054,1.0,0.2,-0.4995713922251315,-0.30329671043072526,0.1962746817944063,0.9978977897526163
3,0.055,0.7777777777777778,0.2,-0.8703325086695842,-0.7324521342727939,0.13788037439679032,0.9813482352021992
3,0.055,1.0,0.2,-0.5167317706889097,-0.32065057186749046,0.19608119882141925,0.9977905387002888
3,0.056,0.7777777777777778,0.2,-0.8910570227317993,-0.7528874812219759,0.13816954150982338,0.9820879178747574
3,0.056,1.0,0.2,-0.5343010497374482,-0.3384169465770108,0.19588410316043733,0.9976824216971308
3,0.057,0.7777777777777778,0.2,-0.9119425084369394,-0.7734982505078685,0.13844425792907086,0.9827809083413923
3,0.057,1.0,0.2,-0.5522822257640819,-0.35659822181415346,0.19568400394992844,0.9975739326488853
3,0.058,0.7777777777777778,0.2,-0.9329872112033037,-0.7942817866747736,0.13870542452853016,0.9834308324785075
3,0.058,1.0,0.2,-0.5706773929215478,-0.3751958398692047,0.19548155305234313,0.9974655819670329
3,0.059,0.7777777777777778,0.2,-0.9541893294740015,-0.8152354493732324,0.13895388010076903,0.9840409951306958
3,0.059,1.0,0.2,-0.5894877092956239,-0.39421027390976987,0.19527743538585401,0.9973578874850975
3,0.06,0.7777777777777778,0.2,-0.9755470183750664,-0.8363566121373439,0.1391904062377225,0.9846144116428205
3,0.06,1.0,0.2,-0.6087133767775806,-0.4136410185639192,0.19507235821366142,0.9972513650563471
3,0.061,0.7777777777777778,0.2,-0.9970583933969079,-0.8576426616358233,0.13941573176108468,0.9851538360309511
3,0.061,1.0,0.2,-0.6283536352663566,-0.43348659548814017,0.1948670397782164,0.9971465192111799
3,0.062,0.7777777777777778,0.2,-1.01872153407932,-0.8790909973303109,0.13963053674900916,0.9856617861689766
3,0.062,1.0,0.2,-0.6484067713236815,-0.4537445736206772,0.1946621977030043,0.997043834246504
3,0.063,0.7777777777777778,0.2,-1.040534487681264,-0.9006990314803274,0.13983545620093674,0.986140566325428
3,0.063,1.0,0.2,-0.6688701408920351,-0.4744116033003486,0.19445853759168652,0.9969437660873391
3,0.064,0.7777777777777778,0.2,-1.0624952728177925,-0.9224641894399249,0.14003108337786763,0.9865922873470989
3,0.064,1.0,0.2,-0.6897402051997323,-0.49548346296611573,0.1942567422336166,0.9968467352068668
3,0.065,0.7777777777777778,0.2,-1.0846018830475677,-0.9443839101962092,0.1402179728513585,0.9870188847519938
3,0.065,1.0,0.2,-0.7110125785490191,-0.5169551167705121,0.19405746177850702,0.9967531208204519
3,0.066,0.7777777777777778,0.2,-1.1068522903960138,-0.9664556471050454,0.14039664329096846,0.9874221349641308
